gene	P8
ENSMUSG00000004849	3133
ENSMUSG00000004864	3148
ENSMUSG00000004865	4085
ENSMUSG00000004872	2
ENSMUSG00000004880	2085
ENSMUSG00000004885	2176
ENSMUSG00000004891	1712
ENSMUSG00000004892	6
ENSMUSG00000004894	0
ENSMUSG00000004895	2196
ENSMUSG00000004896	1600
ENSMUSG00000004897	12578
ENSMUSG00000004902	27
ENSMUSG00000004929	4018
ENSMUSG00000004931	2628
ENSMUSG00000004933	310
ENSMUSG00000004934	1328
ENSMUSG00000004936	4343
ENSMUSG00000004937	5649
ENSMUSG00000004939	750
ENSMUSG00000004945	2298
ENSMUSG00000004947	1280
ENSMUSG00000004948	0
ENSMUSG00000004951	6477
ENSMUSG00000004952	3553
ENSMUSG00000004961	71
ENSMUSG00000004980	37475
ENSMUSG00000004988	2521
ENSMUSG00000004994	726
ENSMUSG00000004996	1792
ENSMUSG00000005034	5123
ENSMUSG00000005043	1614
ENSMUSG00000005045	83
ENSMUSG00000005054	4559
ENSMUSG00000005057	312
ENSMUSG00000005069	1978
ENSMUSG00000005078	1419
ENSMUSG00000005087	14662
ENSMUSG00000005089	28
ENSMUSG00000005102	1071
ENSMUSG00000005103	12929
ENSMUSG00000005107	119
ENSMUSG00000005124	7506
ENSMUSG00000005125	8088
ENSMUSG00000005131	74
ENSMUSG00000005142	8603
ENSMUSG00000005148	2786
ENSMUSG00000005150	1083
ENSMUSG00000005161	9974
ENSMUSG00000005198	8124
ENSMUSG00000005202	4
ENSMUSG00000005204	4308
ENSMUSG00000005220	58
ENSMUSG00000005225	801
ENSMUSG00000005232	4
ENSMUSG00000005233	234
ENSMUSG00000005237	96
ENSMUSG00000005251	2298
ENSMUSG00000005262	2969
ENSMUSG00000005267	340
ENSMUSG00000005268	14335
ENSMUSG00000005299	3615
ENSMUSG00000005312	7279
ENSMUSG00000005320	31
ENSMUSG00000005338	2938
ENSMUSG00000005339	32
ENSMUSG00000005354	7979
ENSMUSG00000005355	822
ENSMUSG00000005357	5
ENSMUSG00000005360	900
ENSMUSG00000005362	1831
ENSMUSG00000005364	15
ENSMUSG00000005370	1518
ENSMUSG00000005371	4450
ENSMUSG00000005373	1630
ENSMUSG00000005374	1422
ENSMUSG00000005378	1911
ENSMUSG00000005397	4719
ENSMUSG00000005410	739
ENSMUSG00000005413	2903
ENSMUSG00000005417	25485
ENSMUSG00000005442	6368
ENSMUSG00000005447	1469
ENSMUSG00000005465	273
ENSMUSG00000005469	4773
ENSMUSG00000005470	214
ENSMUSG00000005474	13
ENSMUSG00000005481	1357
ENSMUSG00000005483	2598
ENSMUSG00000005493	4
ENSMUSG00000005501	2204
ENSMUSG00000005503	0
ENSMUSG00000005505	1299
ENSMUSG00000005506	6874
ENSMUSG00000005510	5754
ENSMUSG00000005514	8497
ENSMUSG00000005533	7796
ENSMUSG00000005534	6685
ENSMUSG00000005540	216
ENSMUSG00000005547	298
ENSMUSG00000005553	7
ENSMUSG00000005566	5669
ENSMUSG00000005575	4755
ENSMUSG00000005580	1072
ENSMUSG00000005583	9162
ENSMUSG00000005609	3021
ENSMUSG00000005610	45583
ENSMUSG00000005611	418
ENSMUSG00000005615	4050
ENSMUSG00000005621	3547
ENSMUSG00000005625	5703
ENSMUSG00000005628	3078
ENSMUSG00000005640	22
ENSMUSG00000005649	1
ENSMUSG00000005656	4584
ENSMUSG00000005667	513
ENSMUSG00000005672	1249
ENSMUSG00000005674	2312
ENSMUSG00000005677	23
ENSMUSG00000005681	32
ENSMUSG00000005682	2470
ENSMUSG00000005683	18904
ENSMUSG00000005686	1388
ENSMUSG00000005687	2864
ENSMUSG00000005696	9
ENSMUSG00000005698	4144
ENSMUSG00000005699	350
ENSMUSG00000005705	8
ENSMUSG00000005716	36027
ENSMUSG00000005718	414
ENSMUSG00000005732	1707
ENSMUSG00000005763	92
ENSMUSG00000005774	2527
ENSMUSG00000005779	6037
ENSMUSG00000005800	195
ENSMUSG00000005802	3979
ENSMUSG00000005803	2337
ENSMUSG00000005804	1629
ENSMUSG00000005813	3080
ENSMUSG00000005823	5526
ENSMUSG00000005824	70
ENSMUSG00000005836	93
ENSMUSG00000005846	3508
ENSMUSG00000005864	1
ENSMUSG00000005871	5842
ENSMUSG00000005873	12931
ENSMUSG00000005881	12432
ENSMUSG00000005882	2630
ENSMUSG00000005883	161
ENSMUSG00000005886	4620
ENSMUSG00000005891	0
ENSMUSG00000005892	0
ENSMUSG00000005893	3926
ENSMUSG00000005897	1374
ENSMUSG00000005899	2298
ENSMUSG00000005907	899
ENSMUSG00000005917	134
ENSMUSG00000005936	3260
ENSMUSG00000005947	202
ENSMUSG00000005949	1411
ENSMUSG00000005950	223
ENSMUSG00000005951	498
