,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000043629_1700019D03Rik,199.4063319,-0.962185487,0.271394734,-3.545335873,0.000392113,0.006434649,,ENSMUSG00000043629
ENSMUSG00000002032_Tmem25,255.9855492,-1.110140208,0.313818623,-3.537521757,0.000403901,0.006575206,,ENSMUSG00000002032
ENSMUSG00000117819_Gm50253,259.869393,-0.727424007,0.206453669,-3.52342494,0.000426008,0.006868113,,ENSMUSG00000117819
ENSMUSG00000026715_Serpinc1,195.5206894,-0.700365226,0.199108194,-3.517510809,0.000435615,0.006986193,,ENSMUSG00000026715
ENSMUSG00000019838_Slc16a10,357.0432295,-0.832031661,0.236568738,-3.51708205,0.000436319,0.006986379,,ENSMUSG00000019838
ENSMUSG00000055782_Abcd2,697.1616414,-1.321255788,0.377367519,-3.501244068,0.000463092,0.007311909,,ENSMUSG00000055782
ENSMUSG00000021838_Samd4,812.6647203,-1.000213276,0.285985937,-3.497421197,0.000469779,0.00739838,,ENSMUSG00000021838
ENSMUSG00000055737_Ghr,1387.565119,-0.852615979,0.243887439,-3.495940515,0.000472394,0.007426859,,ENSMUSG00000055737
ENSMUSG00000037573_Tob1,1686.28591,-0.747245132,0.214321173,-3.486567007,0.000489263,0.007633248,,ENSMUSG00000037573
ENSMUSG00000078234_Klhdc7a,920.3305114,-0.619693916,0.177844908,-3.484462509,0.000493127,0.007660984,,ENSMUSG00000078234
ENSMUSG00000036067_Slc2a6,159.1048624,-0.812145499,0.233436021,-3.479092449,0.000503115,0.007770143,,ENSMUSG00000036067
ENSMUSG00000023886_Smoc2,5757.525538,-0.763048188,0.219413009,-3.477679798,0.000505774,0.007795128,,ENSMUSG00000023886
ENSMUSG00000040181_Fmo1,810.5463589,-0.809156998,0.232745274,-3.476577572,0.000507857,0.007805907,,ENSMUSG00000040181
ENSMUSG00000103144_Pcdhga1,121.9001736,-1.094717189,0.314977784,-3.475537787,0.00050983,0.007827769,,ENSMUSG00000103144
ENSMUSG00000002265_Peg3,1145.220848,-0.779527222,0.224437544,-3.473247865,0.0005142,0.00788827,,ENSMUSG00000002265
ENSMUSG00000025777_Gdap1,140.6920519,-1.709181978,0.496033213,-3.445700679,0.000569581,0.008601327,,ENSMUSG00000025777
ENSMUSG00000005373_Mlxipl,824.315709,-1.402312209,0.408522525,-3.432643547,0.000597727,0.008974708,,ENSMUSG00000005373
ENSMUSG00000039257_Vstm2b,132.973944,-1.535307387,0.447491808,-3.430917302,0.000601544,0.009024634,,ENSMUSG00000039257
ENSMUSG00000026922_Agpat2,1647.618833,-0.847098846,0.247132333,-3.427713544,0.000608687,0.009104225,,ENSMUSG00000026922
ENSMUSG00000030319_Cand2,880.5683068,-1.066068066,0.311730062,-3.419843631,0.000626571,0.009271338,,ENSMUSG00000030319
