"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gjb4",243.5558782,1.543173598,0.275051469,5.610490294,2.02e-08,1.3e-06
"Glb1l2",511.9643217,-1.27832883,0.228036115,-5.605817429,2.07e-08,1.33e-06
"Prss33",13.9979904,6.507302656,1.163108449,5.594751428,2.21e-08,1.41e-06
"Ear2",118.6438269,1.841646369,0.329238351,5.593656878,2.22e-08,1.42e-06
"Racgap1",106.2381364,1.579753882,0.282977107,5.582620799,2.37e-08,1.51e-06
"Nptx1",3912.292271,1.59561389,0.285905837,5.580907019,2.39e-08,1.52e-06
"Psap",34882.31825,0.839731564,0.150773593,5.56948697,2.55e-08,1.61e-06
"Lbp",1045.871713,1.286891445,0.231442348,5.56031105,2.69e-08,1.69e-06
"B4galt6",435.78174,1.35503281,0.243748322,5.559147245,2.71e-08,1.7e-06
"Cldn3",2542.300867,0.823854854,0.148249373,5.557223177,2.74e-08,1.71e-06
"Invs",856.3360401,1.55467029,0.279975518,5.552879408,2.81e-08,1.75e-06
"Apoe",11866.30691,1.071907041,0.193065966,5.552024864,2.82e-08,1.75e-06
"Slc5a8",1180.571804,-1.182457192,0.213220261,-5.54570747,2.93e-08,1.81e-06
"Olr1",33.4756933,2.897368982,0.524279715,5.526380092,3.27e-08,2.01e-06
"Prelid2",88.88938359,1.548839059,0.280400526,5.523666736,3.32e-08,2.04e-06
"Tmem40",130.9285716,2.204218965,0.400150547,5.508474195,3.62e-08,2.22e-06
"Top2a",155.2147238,1.595438429,0.289880995,5.503770361,3.72e-08,2.27e-06
"Fam178b",111.7022796,1.277505822,0.232238347,5.50083928,3.78e-08,2.3e-06
"Lgmn",2317.776307,0.724394794,0.132044955,5.485971002,4.11e-08,2.49e-06
"Calca",12365.98395,-3.156850901,0.575472835,-5.485664503,4.12e-08,2.49e-06
